N [I]Compares Swaps Time [M]Compares Swaps Time [Q]Compares Swaps Time [C]Compares Swaps Time [H]Compares Swwaps Time
5300 70746149 70799669 0.6423 666680 666680 0.0096 752620 427776 0.0079 1022263 367531 0.0026 730701 447325 0.0081 
5400 73609217 73663747 0.5237 680820 680820 0.0104 781654 437677 0.0086 1040252 369378 0.0024 759053 457564 0.007 
5500 76220542 76276082 0.4921 694960 694960 0.0083 798636 447045 0.0075 1088072 380022 0.0019 775704 467163 0.007 
5600 78751646 78808196 0.4825 709100 709100 0.0072 819493 462026 0.0072 1113686 395498 0.002 796767 483383 0.0075 
5700 81991906 82049466 0.5359 723240 723240 0.0093 825295 459135 0.0086 1134087 400058 0.0023 801331 479363 0.0076 
5800 85130661 85189231 0.5636 737380 737380 0.0081 834228 469386 0.008 1159980 412424 0.0022 809784 490305 0.0071 
5900 87917859 87977439 0.5717 751520 751520 0.0079 872391 468919 0.0079 1183968 406114 0.0023 847670 490200 0.0079 
6000 91101824 91162414 0.5809 765660 765660 0.0078 872215 499682 0.0082 1207628 421982 0.0021 847383 521704 0.0076 
6100 93323459 93385059 0.5711 779800 779800 0.0077 894822 490642 0.0076 1191587 427230 0.0021 869176 512379 0.0075 
6200 97455058 97517668 0.6407 793940 793940 0.0081 941906 534672 0.0081 1249677 431953 0.0025 915652 556872 0.0084 
6300 100539476 100603096 0.6735 808080 808080 0.0093 908460 513178 0.0085 1239224 433555 0.0026 881173 534926 0.0088 
6400 103218044 103282674 0.6653 822220 822220 0.0085 931110 511425 0.008 1281393 455231 0.0022 903399 533169 0.0079 
6500 106400072 106465711 0.7185 836360 836360 0.0097 984207 534561 0.0093 1313072 468569 0.0025 955757 556142 0.0086 
6600 109802304 109868954 0.7291 850500 850500 0.0103 979513 547705 0.009 1336050 472668 0.0027 950759 569841 0.0087 
6700 113287197 113354857 0.7454 864640 864640 0.0095 1007079 577981 0.0091 1378362 478125 0.0027 977926 600057 0.0093 
6800 116808502 116877172 0.7905 878780 878780 0.0115 1034692 573610 0.0101 1381399 470917 0.0028 1004523 595798 0.0097 
6900 120155518 120225198 0.7944 892920 892920 0.0104 1037385 579330 0.0103 1405195 476960 0.0025 1006822 601492 0.0097 
